domain,scraped_url,company_name,num_employees,parent_company,annual_sales
dailycaller.com,www.dailycaller.com,The Daily Caller,27,NA,2.72M
dailycamera.com,www.dailycamera.com,Daily Camera Newspapers In Education,8,NA,122.92K
dailygazette.com,www.dailygazette.com,Daily Gazette Company,340,NA,68.17M
dailyherald.com,www.dailyherald.com,"Paddock Publications, Inc.",450,NA,112.49M
dailykos.com,www.dailykos.com,"Kos Media, LLC",5,NA,1.30M
dailymail.co.uk,www.dailymail.co.uk,ASSOCIATED NEWSPAPERS LIMITED,1657,DMG MEDIA LIMITED,0.72B
dailynews.com,www.dailynews.com,Los Angeles Daily News Publishing Company,49,"Medianews Group, Inc.",2.81M
dailynorthwestern.com,www.dailynorthwestern.com,Meor Northwestern Inc Nfp,8,NA,73.72K
dailypress.com,www.dailypress.com,The Daily Press Inc,575,Tribune Publishing Company,104.40M
dailyprogress.com,www.dailyprogress.com,The Daily Progress,13,NA,462.05K
dailyrecord.co.uk,www.dailyrecord.co.uk,MEDIA SCOTLAND LIMITED,400,MGL2 LIMITED,59.37M
dailystar.co.uk,www.dailystar.co.uk,DAILY STAR LIMITED,7,NA,452.59K
dailytelegraph.com.au,www.dailytelegraph.com.au.ezproxy.library.tufts.edu,THE EASTERN PALACE CHINESE RESTAURANT PTY LTD,5,NA,381.97K
dday.it,www.dday.it,SCRIPTA MANENT SERVIZI EDITORIALI SRL,1,NA,0.76M
deadspin.com,www.deadspin.com,Deadspin Golf Inc.,5,NA,47.30K
decorrespondent.nl,www.decorrespondent.nl,De Correspondent B.V.,56,NA,4.29M
defensenews.com,www.defensenews.com,Defense News,47,NA,0.60M
delawareonline.com,www.delawareonline.com,The Dover Post Co Inc,140,NA,8.09M
delcotimes.com,www.delcotimes.com,Head Courters,9,NA,115.17K
democratandchronicle.com,www.democratandchronicle.com,Brighton-Pittsford Post,6,NA,147.41K
denverpost.com,www.denverpost.com,The Denver Post LLC,1700,"Medianews Group, Inc.",385.82M
derwesten.de,www.derwesten.de,Thomas Sprenger,4,NA,187.83K
desmoinesregister.com,www.desmoinesregister.com,Des Moines Register and Tribune Company,800,Gannett Media Corp.,147.98M
destentor.nl,www.destentor.nl,Christelijke Maatschappelijke Vrouwenbeweging Passage Warnsveld Dorp,6,NA,29.44K
detroitnews.com,www.detroitnews.com,"Detroit Red Wings, Inc.",1,"Ilitch Holdings, Inc.",21.27M
diariodemallorca.es,www.diariodemallorca.es,"EDITORA BALEAR, SA",88,PROVISO 1812 S.A.,6.54M
diariodenavarra.es,www.diariodenavarra.es,DIARIO DE NAVARRA SAU,100,"LA INFORMACION, SA",20.94M
diariosur.es,www.diariosur.es,PRENSA MALAGUEÑA SA,66,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,10.56M
